person_id,trip_id,purpose,mode,origin_type,origin_x,origin_y,dest_type,dest_x,dest_y,start_time,end_time,duration,status,path_cost,real_distance,wait_time
Person_8740,Person_8740_1,working,car,home,7835.996991641914,3778.687009545482,city,10159.910029921817,195.30711077929786,8645.76,8706.24,60.47999999999956,COMPLETED,0,0,0
Person_5071,Person_5071_1,working,walking,home,5762.284455096558,4790.774276062848,university,5887.791508799354,2982.146731596164,4265.28,8706.24,4440.96,COMPLETED,0,0,0
Person_8796,Person_8796_1,working,car,home,8170.217747674571,3824.2826721320985,school,8424.219877122703,3037.381678006474,7865.28,8712.0,846.7200000000003,COMPLETED,0,0,0
Person_8964,Person_8964_1,working,car,home,10204.553128976744,3032.7158650840793,city,10159.910029921817,195.30711077929786,8524.8,8712.0,187.20000000000073,COMPLETED,0,0,0
Person_3409,Person_3409_1,working,car,home,7940.83991567319,3074.1856669994004,university,5872.083656560459,2982.14688861395,7744.32,8714.88,970.5599999999995,COMPLETED,0,0,0
Person_3499,Person_3499_1,working,car,home,8982.539674594882,6224.04271922478,yes,7109.147252305996,2768.53220347098,7865.28,8714.88,849.5999999999995,COMPLETED,0,0,0
Person_5063,Person_5063_1,working,car,home,6864.5108327103235,4916.607136261056,yes,7816.943607607669,1631.5992910237153,8585.28,8714.88,129.59999999999854,COMPLETED,0,0,0
Person_6754,Person_6754_1,working,car,home,10159.910029921817,195.30711077929786,school,8090.403727763584,3710.439326848461,7326.72,8717.76,1391.04,COMPLETED,0,0,0
Person_8518,Person_8518_1,working,car,home,4771.159705068488,7798.325282355149,kindergarten,7813.595747654742,5246.369333041357,8046.72,8717.76,671.04,COMPLETED,0,0,0
Person_7507,Person_7507_1,working,car,home,812.749230267771,6686.310237051298,yes,8512.789708616081,1137.3017234732558,7686.72,8720.64,1033.9199999999992,COMPLETED,0,0,0
Person_2291,Person_2291_1,working,car,home,4771.159705068488,7798.325282355149,school,7029.442118104768,2950.8589240361703,7744.32,8723.52,979.2000000000007,COMPLETED,0,0,0
Person_585,Person_585_1,working,car,home,5374.801785666457,2880.691960632077,school,6481.039182386581,4685.228539221363,8046.72,8726.4,679.6799999999994,COMPLETED,0,0,0
Person_5866,Person_5866_1,working,car,home,6572.915422688351,4337.917386805004,university,6850.81127161198,3522.934095561738,7986.24,8729.28,743.0400000000009,COMPLETED,0,0,0
