person_id,trip_id,purpose,mode,origin_type,origin_x,origin_y,dest_type,dest_x,dest_y,start_time,end_time,duration,status,path_cost,real_distance,wait_time
Person_9616,Person_9616_1,working,car,home,10159.910029921817,195.30711077929786,yes,7404.0858643442625,3600.4926549270585,11226.24,11260.8,34.55999999999949,COMPLETED,0,0,0
Person_1547,Person_1547_1,working,car,home,5642.829472673548,910.7809044648693,university,6897.893782272236,3752.9120240344228,11044.8,11272.32,227.52000000000044,COMPLETED,0,0,0
Person_8658,Person_8658_1,working,walking,home,7767.5181596570255,4957.11161408828,university,6897.893782272236,3752.9120240344228,7626.24,11272.32,3646.08,COMPLETED,0,0,0
Person_2736,Person_2736_1,working,car,home,6840.326846687266,4348.033091276738,city,10159.910029921817,195.30711077929786,11226.24,11278.08,51.840000000000146,COMPLETED,0,0,0
Person_1580,Person_1580_1,working,car,home,4771.159705068488,7798.325282355149,yes,5723.291765627843,657.875206907027,11226.24,11280.96,54.719999999999345,COMPLETED,0,0,0
Person_2001,Person_2001_1,working,car,home,10159.910029921817,195.30711077929786,yes,6471.860723325657,3627.9958128007966,11165.76,11298.24,132.47999999999956,COMPLETED,0,0,0
Person_182,Person_182_1,working,car,home,10159.910029921817,195.30711077929786,kindergarten,9080.274888624233,2485.4357551968696,11226.24,11298.24,72.0,COMPLETED,0,0,0
Person_1370,Person_1370_1,working,train,home,6984.0252826169935,3978.0458275180044,,6383.066520287023,4062.6484057004186,4924.8,11318.4,6393.599999999999,COMPLETED,0,0,0
Person_1671,Person_1671_1,working,car,home,7551.911632241162,3566.254771600528,city,8982.539674594882,6224.04271922478,11286.72,11321.28,34.56000000000131,COMPLETED,0,0,0
Person_2637,Person_2637_1,working,train,home,7737.042929302485,4982.015246054082,,6383.066520287023,4062.6484057004186,4026.24,11321.28,7295.040000000001,COMPLETED,0,0,0
Person_7537,Person_7537_1,working,car,home,10159.910029921817,195.30711077929786,yes,7762.759476232132,5055.530881333513,11286.72,11332.8,46.07999999999993,COMPLETED,0,0,0
Person_166,Person_166_1,working,walking,home,6507.427765359451,4284.131504044185,university,6897.893782272236,3752.9120240344228,7565.76,11341.44,3775.6800000000003,COMPLETED,0,0,0
Person_9052,Person_9052_1,working,walking,home,8105.076451583419,2921.2468587936582,university,5872.083656560459,2982.14688861395,3844.8,11347.2,7502.400000000001,COMPLETED,0,0,0
Person_1569,Person_1569_1,working,car,home,7946.513790019167,3179.3684424147596,city,10159.910029921817,195.30711077929786,11226.24,11352.96,126.71999999999935,COMPLETED,0,0,0
Person_2420,Person_2420_1,working,car,home,10159.910029921817,195.30711077929786,yes,5171.937504346624,1029.7511114024674,10926.72,11381.76,455.0400000000009,COMPLETED,0,0,0
Person_1023,Person_1023_1,working,car,home,8358.464156219261,3708.110835205073,university,5901.5627362491805,2994.702412765903,11226.24,11381.76,155.52000000000044,COMPLETED,0,0,0
Person_9530,Person_9530_1,working,train,home,7562.620149350426,3949.9943075116093,,6383.066520287023,4062.6484057004186,9005.76,11381.76,2376.0,COMPLETED,0,0,0
Person_8250,Person_8250_1,working,car,home,10159.910029921817,195.30711077929786,yes,5635.751042124652,740.7461218172831,10866.24,11384.64,518.3999999999996,COMPLETED,0,0,0
Person_1530,Person_1530_1,working,car,home,8430.836864153058,2135.2685259372,city,10159.910029921817,195.30711077929786,11344.32,11396.16,51.840000000000146,COMPLETED,0,0,0
Person_17,Person_17_1,working,car,home,6587.233266645203,4703.329905378085,city,4065.2060983642004,1289.6729660000035,10984.32,11413.44,429.1200000000008,COMPLETED,0,0,0
Person_7531,Person_7531_1,working,train,home,7687.261096335731,4908.514271788083,,6383.066520287023,4062.6484057004186,7505.28,11413.44,3908.1600000000008,COMPLETED,0,0,0
Person_8547,Person_8547_1,working,car,home,7759.503929395974,3167.5637709059424,city,10159.910029921817,195.30711077929786,11105.28,11427.84,322.5599999999995,COMPLETED,0,0,0
